"LOC_ID","X_COORD","Y_COORD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76"
1,325000,248000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.0504980714662126,-20,-20,-20,-20,-20,-20,-1.47684151446101,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.749337524578513,-20,-0.744621109671318,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.928243348939498,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.745862801237648,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.751732494351369,-20,-20,-20,-20,-0.752628904172794,-0.750583875753392
2,326000,248000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.744430148198757,-20,-20,-20,-20,-20,-20,-1.28126653281917,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0521576093647064,-20,-0.0421209243044983,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.081025259260614,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.0419590053107902,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0504868412907638,-20,-20,-20,-20,0.0544722488642806,0.0507849674743341
3,327000,248000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.72495612033247,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0324287033177864,-20,0.0316894906536912,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0290621058370128,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0314150576420112,-20,-20,-20,-20,0.031790531920519,0.0315726823561123
4,328000,248000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.758493257311193,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0654388040079368,-20,0.0680870643790683,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0432385983671878,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.0661165290535235,-20,-20,-20,-20,0.0687008692437701,0.0677901314882444
5,329000,248000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.519767307902246,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.164896802981478,-20,-0.166331255618099,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.209501416966809,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.162136315093644,-20,-20,-20,-20,-0.169274373283015,-0.166209221421897
6,320000,249000,-20,-20,-20,-20,-20,-20,-20,-0.465592399457831,-20,-20,-20,-0.960835328665552,-20,-1.10596003687461,-20,-20,-20,-20,-20,-0.958826694671327,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.966885577292812,-20,-0.974666003984029,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.972888751859521,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-1.24954501424944,-20,-20,-20,-0.96657531678364,-20,-20,-20,-20,-20,-20,-20,-20,-20
7,321000,249000,-20,-20,-20,-20,-20,-20,-20,0.811005981932762,-20,-20,-20,0.281302064710122,-20,0.344701806529078,-20,-20,-20,-20,-20,0.329610341886289,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.32684819522091,-20,0.349034754166796,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.325304000593318,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.284754133433695,-20,-20,-20,0.356462027853296,-20,-20,-20,-20,-20,-20,-20,-20,-20
8,322000,249000,-20,-20,-20,-20,-20,-20,-20,1.04068821704451,0.413284519628738,-20,-20,0.292670903034176,-20,0.656532267165934,-20,-20,-20,-20,-20,0.359166263314466,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0.088267356213483,-20,0.114595757316288,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.0866172983700714,-20,0.348518799498957,-20,-20,-20,-1.68848796741167,-20,-20,-20,-20,-0.768243581925973,-0.846007141296131,-20,-20,-20,-20,-20,-20,-20,0.729194518970805,-20,-0.0852512152310385,-20,0.366747622255373,-20,-20,-1.76504633557428,-20,-20,-20,-20,-0.0728522086137243,-0.245503498168112
9,323000,249000,-20,-20,-20,-20,-20,-20,-20,-0.168629733522274,-1.04826173238864,-20,-20,-1.16026267236602,-20,1.01876595212259,-20,-20,-20,-20,-20,-1.16210551497246,-2.25377435451118,-20,-20,-20,-20,-20,-3.3205489891429,-20,-20,-20,0.204916607558911,-20,0.205139463801985,-20,-20,-20,-20,-20,-20,-20,-1.15441989422137,-20,0.430282579797735,-20,-1.16800587423447,-20,-20,-20,-0.469451445137099,-20,-20,-20,-20,-20,-0.300738681634246,-20,-20,-20,-2.40932813048044,-20,-20,-20,-1.15602714256308,-20,-0.611873881812451,-20,-1.14047046810182,-20,-20,-0.909384799849062,-20,-20,-20,-20,0.43512839814676,0.400902781241465
10,324000,249000,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-0.452569826720072,-20,-20,-20,-20,-20,-20,-2.2083411351227,-20,-20,-20,-20,-20,-20,-20,-20,-20,-1.1251474381208,-20,-1.12012734601221,-20,-20,-20,-20,-20,-20,-20,-20,-20,-1.14238067852317,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.56011586906813,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-1.4074763403501,-20,-20,-20,-20,-1.14348300666022,-1.14938264070277
